ID,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct
0,0,0,0,0,3,0,20473,10577,18095,19203
1,0,0,0,0,2,1,19486,8953,20804,10308
2,0,0,0,0,4,1,0,9554,20422,19674
3,0,0,0,0,3,5,0,0,0,0
4,0,0,0,0,5,4,0,0,0,0
5,0,0,0,0,1,4,0,0,0,0
6,0,0,0,0,0,3,0,0,0,0
7,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0
9,0,0,0,0,2,1,0,0,0,0
10,20401,0,0,1,2,1,0,0,0,0
11,0,0,0,0,2,1,0,0,0,0
12,20304,0,0,0,2,1,0,0,0,0
13,0,0,0,0,2,1,0,0,0,0
14,20424,0,0,0,2,1,22031,8604,20576,19488
15,20281,0,0,0,3,1,21537,10122,20740,19548
16,20469,0,0,0,2,2,16671,9609,19403,16918
17,20226,0,0,0,1,1,5140,10405,19798,17468
18,0,0,0,0,1,0,20862,9998,20010,19441
19,20149,0,0,0,3,2,5370,0,2397,19693
20,17983,0,18360,24118,3,0,18686,9113,19707,19436
21,20141,16738,19351,25126,2,9737,19687,4417,20704,19748
22,20486,16888,14877,23676,2,8,20073,8896,20130,19139
23,20248,16697,18876,21618,1,23404,21467,8048,19635,19769
24,20164,16818,18191,21453,16774,22459,18634,8853,19960,13061
25,20387,13603,0,1,21807,13783,19464,5923,19645,19501
26,20403,16775,19384,24259,21229,22390,19033,9077,20351,19814
27,20461,17072,18928,10608,20681,22804,21628,9259,20407,19652
28,0,16859,19285,20982,20988,23923,18986,5511,6301,19759
29,20493,16988,0,0,20818,10775,41110,8666,21410,20381
30,20422,16662,0,0,17156,20606,21963,9669,21012,19803
31,20309,16769,0,0,18055,18514,19890,8863,15220,20059
32,20253,17326,0,0,20163,17852,19595,8747,18101,20358
33,20373,16779,0,0,16861,23341,18557,7327,16085,14019
34,20415,16784,0,0,16037,23241,21170,8684,7193,20810
35,20228,16941,0,0,16924,0,19997,9983,21076,19682
36,20196,16824,0,0,17381,21596,21792,8597,20909,19556
37,0,12577,0,0,18108,24507,45251,9245,20455,19761
38,20359,17046,0,0,16868,20374,20364,9274,20931,19619
39,20383,16943,19248,24973,0,22937,9607,7383,20130,19176
40,20540,17402,19028,23209,9943,0,19091,8718,20694,19483
41,7116,16686,19641,25138,16864,22509,19751,8933,20606,19785
42,20465,16694,18917,493,16243,21432,21180,9974,20959,19541
