½ÚµãID,Jan-12,Feb-12,Mar-12,Apr-12,May-12
0,0,0,0,0,3
1,0,0,0,0,2
2,0,0,0,0,4
3,0,0,0,0,3
4,0,0,0,0,4
5,0,0,0,0,1
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,2
10,3497,0,0,0,2
11,0,0,0,0,2
12,3626,0,0,0,2
13,0,0,0,0,2
14,3720,0,0,0,2
15,3474,0,0,0,3
16,3655,0,0,0,2
17,3579,0,0,0,1
18,0,0,0,0,1
19,3595,0,0,0,2
20,2579,0,4179,10031,2
21,4024,6820,4305,10020,2
22,3818,6887,3898,10801,2
23,3624,6922,4086,8944,1
24,3254,7116,3417,9149,6370
25,3578,6038,0,1,7429
26,3580,7111,4273,9840,7419
27,3507,6875,4135,3163,7533
28,0,7026,4084,8535,7658
29,3502,7002,0,0,7587
30,3642,6785,0,0,6396
31,3634,6954,0,0,7158
32,4253,6930,0,0,7572
33,3599,6933,0,0,6313
34,3603,7045,0,0,6662
35,3559,7026,0,0,6048
36,3877,7050,0,0,6402
37,0,4547,0,0,6746
38,3571,7096,0,0,6417
39,3689,6983,4176,10507,0
40,3756,6890,4112,9481,2887
41,2368,6901,4366,9712,6384
42,3772,6913,4239,287,6657
43,3214,6935,4286,10850,6257
44,0,7118,4121,8907,7335
45,3653,6967,4099,9502,6214
46,3541,6893,4190,9764,7463
47,1857,6976,0,0,6392
48,3549,7152,4178,10518,0
49,3655,6940,4133,9697,6359
50,0,7167,4197,9000,6278
51,0,6895,4296,9419,6380
52,3763,6950,1355,644,6509
53,3616,6891,4091,7888,6064
54,3380,7001,4345,9795,4594
55,3637,7089,4121,3334,6551
56,4248,7241,4237,9719,6414
57,3526,6907,4381,9715,0
58,3684,7171,0,214,6436
59,0,6929,4085,9478,6155
60,3604,7070,4187,9702,6611
61,3677,6972,4155,10006,6158
62,3466,7117,3967,9702,6039
63,3504,6881,4081,10431,0
64,4301,7067,4216,2148,6086
65,3188,7158,4177,10245,7340
66,3657,7010,4208,6707,0
67,3535,7087,4114,0,6382
68,3503,6832,3801,9651,6147
69,3734,7111,4166,10025,1280
70,3657,6488,4099,7186,7619
71,3532,6761,4268,9969,7517
72,0,6643,4063,10653,0
73,0,6936,4110,12523,6640
74,0,7045,4356,9955,6221
75,0,6978,4108,0,6066
76,0,6729,4131,0,0
77,0,0,4188,3304,7704
78,0,6712,4173,10596,6494
79,0,3762,4560,4839,6376
80,0,6118,4178,9789,6479
81,0,0,4249,10445,7222
82,0,6476,4041,9357,7509
83,0,6679,4229,10277,2308
84,0,6567,4010,10031,7578
85,0,6790,4143,9189,7469
86,4343,0,4068,2867,0
87,0,0,4126,10267,0
88,0,0,4044,9971,0
89,0,0,4201,0,0
90,0,0,4079,8447,297
91,0,0,4199,11193,0
92,0,0,5291,9714,0
93,0,0,0,0,1034
94,0,0,0,0,1193
95,0,0,0,0,0
96,0,0,0,0,1094
97,0,0,0,0,1160
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,1077
102,0,0,0,0,1189
103,0,0,0,0,0
104,0,0,0,0,1053
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,968
108,0,0,0,0,1257
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,1258
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,1304
119,0,0,0,0,1391
120,0,0,0,0,0
121,0,0,0,0,1294
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,1229
126,0,0,0,0,0
127,0,0,0,0,906
128,0,0,0,0,1030
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,1074
133,0,0,0,0,0
134,0,0,0,0,1213
135,0,0,0,0,1125
136,0,0,0,0,1273
137,0,0,0,0,0
138,0,0,0,0,1193
139,0,0,0,0,0
140,0,0,0,0,1040
141,0,0,0,0,1111
142,0,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
